dataset,representation,predictor,permutation_id,permutation_seed,test_pairs,spearman_true_predicted_delta,spearman_defined,direction_accuracy,delta_mae,delta_rmse,median_absolute_predicted_delta
CHEMBL1871_Ki,unimol,xgboost,45,20261947,11,0.22727272727272727,True,0.5454545454545454,1.6458141809941074,1.7562299524758789,0.092122197151184
CHEMBL1871_Ki,unimol,xgboost,46,20261948,11,0.05454545454545456,True,0.5454545454545454,1.688324907229237,1.8029510554260544,0.2455071210861206
CHEMBL1871_Ki,unimol,xgboost,47,20261949,11,-0.2505701261680129,True,0.36363636363636365,1.660261729166798,1.7813922752805456,0.0111900568008422
CHEMBL1871_Ki,unimol,xgboost,48,20261950,11,0.08181818181818183,True,0.6363636363636364,1.6023727769982465,1.7273506803278738,0.0641186237335205
CHEMBL1871_Ki,unimol,xgboost,49,20261951,11,-0.004970267328047151,True,0.2727272727272727,1.640123974813188,1.758216722515328,0.0
CHEMBL1871_Ki,unimol,xgboost,50,20261952,11,0.03636363636363637,True,0.7272727272727273,1.6065956468712934,1.7094996505291171,0.0410349369049072
CHEMBL1871_Ki,unimol,xgboost,51,20261953,11,-0.49202861138446163,True,0.36363636363636365,1.6423825356874333,1.7704821433330156,0.0225242376327514
CHEMBL2034_Ki,molformer,mlp,42,20262944,12,-0.44055944055944063,True,0.25,1.646602006989351,1.7603973761431397,0.0851458609104156
CHEMBL2034_Ki,molformer,mlp,43,20262945,12,-0.3916083916083916,True,0.25,1.5991433285053882,1.7265771401483074,0.05918151140213005
CHEMBL2034_Ki,molformer,mlp,44,20262946,12,-0.17482517482517487,True,0.5,1.582487704592577,1.7040776866823266,0.0495626330375671
CHEMBL2034_Ki,molformer,mlp,45,20262947,12,-0.055944055944055944,True,0.4166666666666667,1.59663342161738,1.7235993553553077,0.03241848945617675
CHEMBL2034_Ki,molformer,mlp,46,20262948,12,-0.08391608391608392,True,0.5833333333333334,1.5707659445580158,1.6951815263086278,0.040638267993926946
CHEMBL2034_Ki,molformer,mlp,47,20262949,12,-0.4825174825174825,True,0.3333333333333333,1.5975523066894526,1.7102048388380533,0.03609526157379145
CHEMBL2034_Ki,molformer,mlp,48,20262950,12,-0.2517482517482518,True,0.25,1.5884315095719013,1.7032547733158747,0.0285195112228393
CHEMBL2034_Ki,molformer,mlp,49,20262951,12,-0.6993006993006995,True,0.25,1.5847304485615406,1.7061913405966,0.02141952514648435
CHEMBL2034_Ki,molformer,mlp,50,20262952,12,-0.18881118881118883,True,0.3333333333333333,1.5965061309314086,1.7044284557864424,0.06475406885147089
CHEMBL2034_Ki,molformer,mlp,51,20262953,12,-0.1188811188811189,True,0.3333333333333333,1.5878142240023925,1.7136482649453169,0.035174787044525105
CHEMBL2034_Ki,molformer,xgboost,42,20262944,12,-0.2377622377622378,True,0.3333333333333333,1.6257666669663104,1.7603758038458241,0.09156054258346555
CHEMBL2034_Ki,molformer,xgboost,43,20262945,12,-0.25874125874125875,True,0.4166666666666667,1.5734628361837377,1.7200730815500287,0.05972558259963985
CHEMBL2034_Ki,molformer,xgboost,44,20262946,12,0.5874125874125874,True,0.8333333333333334,1.5450635375953032,1.6618682062819883,0.07113611698150629
CHEMBL2034_Ki,molformer,xgboost,45,20262947,12,0.07692307692307693,True,0.6666666666666666,1.532603703178596,1.646398143745812,0.0723113417625427
CHEMBL2034_Ki,molformer,xgboost,46,20262948,12,0.087719838227813,True,0.4166666666666667,1.5677464725947692,1.6917866055266968,0.01289337873458855
CHEMBL2034_Ki,molformer,xgboost,47,20262949,12,-0.1328671328671329,True,0.4166666666666667,1.6053392213956827,1.7268294234931716,0.0900461673736572
CHEMBL2034_Ki,molformer,xgboost,48,20262950,12,-0.18365260807614814,True,0.16666666666666666,1.5730235499517435,1.6973047754859611,0.0
CHEMBL2034_Ki,molformer,xgboost,49,20262951,12,-0.24953590245893018,True,0.08333333333333333,1.5863423270360941,1.70395315920573,0.0
CHEMBL2034_Ki,molformer,xgboost,50,20262952,12,-0.4203158810030078,True,0.16666666666666666,1.6123613737400684,1.7305625633543091,0.05443680286407465
CHEMBL2034_Ki,molformer,xgboost,51,20262953,12,0.09090909090909093,True,0.5833333333333334,1.5213759017364492,1.6802960610154247,0.0901127457618713
CHEMBL2034_Ki,morgan,mlp,42,20262944,12,-0.2797202797202798,True,0.3333333333333333,1.601463647919527,1.7180976747937773,0.0940558016300201
CHEMBL2034_Ki,morgan,mlp,43,20262945,12,-0.013986013986013986,True,0.5,1.610953710712623,1.7160554575124607,0.05157154798507685
CHEMBL2034_Ki,morgan,mlp,44,20262946,12,-0.1958041958041958,True,0.5,1.5583196155604038,1.6850856564298715,0.0934105515480041
CHEMBL2034_Ki,morgan,mlp,45,20262947,12,-0.37762237762237766,True,0.3333333333333333,1.6260107529537196,1.7696564488537885,0.0770118236541748
CHEMBL2034_Ki,morgan,mlp,46,20262948,12,0.8671328671328673,True,1.0,1.4412659776584615,1.5473166906174853,0.12038791179656974
CHEMBL2034_Ki,morgan,mlp,47,20262949,12,-0.21678321678321683,True,0.5,1.5790617786224994,1.699988609019184,0.08405944705009455
