dataset,component_id,representation,predictor,mapping_combinations_evaluated,chosen_mapping_nap,minimum_mapping_nap,maximum_mapping_nap,mapping_nap_range
CHEMBL204_Ki,0,morgan,xgboost,2,0.06016042780748663,0.06016042780748663,0.061853434555640435,0.0016930067481538066
CHEMBL204_Ki,0,morgan,mlp,2,0.04041290093921673,0.03502294697783419,0.04041290093921673,0.005389953961382539
CHEMBL204_Ki,0,molformer,xgboost,2,0.08160714285714286,0.05811507936507936,0.08160714285714286,0.0234920634920635
CHEMBL204_Ki,0,molformer,mlp,2,0.9471428571428571,0.7797619047619048,0.9471428571428571,0.1673809523809523
CHEMBL204_Ki,0,unimol,xgboost,2,0.11404220779220778,0.0512847066726377,0.11404220779220778,0.06275750111957007
CHEMBL204_Ki,0,unimol,mlp,2,0.598489010989011,0.5540178571428571,0.598489010989011,0.044471153846153855
CHEMBL204_Ki,4,morgan,xgboost,2,0.0006990881458966491,0.0006990881458966491,0.002127659574468087,0.001428571428571438
CHEMBL204_Ki,4,morgan,mlp,2,0.0028956228956228927,0.0004105571847507311,0.0028956228956228927,0.0024850657108721618
CHEMBL204_Ki,4,molformer,xgboost,2,0.02971428571428571,0.02971428571428571,0.5097142857142858,0.4800000000000001
CHEMBL204_Ki,4,molformer,mlp,2,0.03786096256684491,0.03786096256684491,0.08617647058823528,0.048315508021390376
CHEMBL204_Ki,4,unimol,xgboost,2,0.01372448979591836,0.01372448979591836,0.11122448979591835,0.09749999999999999
CHEMBL204_Ki,4,unimol,mlp,2,-0.00252551020408164,-0.002949999999999998,-0.00252551020408164,0.00042448979591835825
CHEMBL204_Ki,20,morgan,xgboost,2,0.11520737327188939,0.11520737327188939,0.11520737327188939,0.0
CHEMBL204_Ki,20,morgan,mlp,2,0.07096774193548387,0.07096774193548387,0.07096774193548387,0.0
CHEMBL204_Ki,20,molformer,xgboost,2,0.01466275659824047,0.01466275659824047,0.01466275659824047,0.0
CHEMBL204_Ki,20,molformer,mlp,2,0.13978494623655913,0.13978494623655913,0.13978494623655913,0.0
CHEMBL204_Ki,20,unimol,xgboost,2,0.05750350631136045,0.05750350631136045,0.05750350631136045,0.0
CHEMBL204_Ki,20,unimol,mlp,2,0.028462998102466792,0.028462998102466792,0.028462998102466792,0.0
CHEMBL204_Ki,35,morgan,xgboost,2,-0.026992615227909366,-0.026992615227909366,-0.015406162464985973,0.011586452762923393
CHEMBL204_Ki,35,morgan,mlp,2,0.15592903828197946,-0.020074696545284775,0.15592903828197946,0.17600373482726422
CHEMBL204_Ki,35,molformer,xgboost,2,0.057040998217468816,-0.020499108734402853,0.057040998217468816,0.07754010695187166
CHEMBL204_Ki,35,molformer,mlp,2,0.17647058823529413,-0.009803921568627449,0.17647058823529413,0.18627450980392157
CHEMBL204_Ki,35,unimol,xgboost,2,0.009259259259259248,-0.007625272331154679,0.009259259259259248,0.016884531590413927
CHEMBL204_Ki,35,unimol,mlp,2,-0.01572936867054515,-0.01572936867054515,-0.015406162464985973,0.00032320620555917855
CHEMBL204_Ki,155,morgan,xgboost,3,0.02623741990205629,0.02623741990205629,0.07846034036510226,0.05222292046304597
CHEMBL204_Ki,155,morgan,mlp,3,0.04906966492758823,0.04906966492758823,0.06149407447284872,0.012424409545260494
CHEMBL204_Ki,155,molformer,xgboost,3,0.2669022359132661,0.2669022359132661,0.4064803678746707,0.13957813196140456
CHEMBL204_Ki,155,molformer,mlp,3,0.09128415676034722,0.09128415676034722,0.13329725829725828,0.042013101536911054
CHEMBL204_Ki,155,unimol,xgboost,3,-0.1000935525661146,-0.1000935525661146,-0.0903616823691281,0.0097318701969865
